date,model,is_sft,is_best,task,dataset_variant,num_samples,num_keypoints,oks_score,oks_confidence_weighted,f1_score,precision,recall,mae_total,mae_x,mae_y,euclidean_distance,pck_50,pck_100,pck_150,per_keypoint_accuracy,left_right_confusion,exact_match,error_detection_acc,accuracy,parse_rate,correct_count,timestamp,result_file,json_path
2026-02-13,qwen3-vl-4b-4epochs-mixed-v3-step3375,True,False,task3c,mixed_v3,4399,25,0.111703,,0.980390,0.980434,0.980353,329.128454,,,,,,,,0.001526,,1.000000,,,,20260213_181506,task3c_mixed_v3_test_step3375_20260213_181506,/mnt/data/sgsilva/vlm-evaluation/results/final/task3c_mixed_v3_test_step3375_20260213_181506.json
2026-02-13,qwen3-vl-4b-4epochs-mixed-v3-step4500,True,True,task3c,mixed_v3,4399,25,0.105588,,0.987114,0.987203,0.987043,331.435772,,,,,,,,0.001072,,1.000000,,,,20260213_182014,task3c_mixed_v3_test_step4500_20260213_182014,/mnt/data/sgsilva/vlm-evaluation/results/final/task3c_mixed_v3_test_step4500_20260213_182014.json
2026-02-16,qwen3-vl-4b-4epochs-mixed-v4-weighted-step1125,True,True,task3c,mixed_v4_weighted,4399,25,0.095647,,0.862871,0.863899,0.862014,334.078764,,,,,,,,0.020881,,1.000000,,,,20260216_140503,task3c_mixed_v4_weighted_test_step1125_20260216_140503,/mnt/data/sgsilva/vlm-evaluation/results/final/task3c_mixed_v4_weighted_test_step1125_20260216_140503.json
2026-01-15,gemini-3-pro-preview,False,False,task3c,v1_background_displacement,100,25,,,0.092589,0.162714,0.070000,,,,,,,,,0.000000,,0.890000,,,,20260115_210858,task3c_v1_background_displacement_test100_gemini3_20260115_210858,/mnt/data/sgsilva/vlm-evaluation/results/final/task3c_v1_background_displacement_test100_gemini3_20260115_210858.json
2026-01-23,4b_4epochs_task3c_background_displacement-step338,True,False,task3c,v1_background_displacement,4399,25,0.248614,,0.695169,0.696744,0.693989,152.018872,,,,,,,,0.051018,,1.000000,,,,20260123_113756,task3c_v1_background_displacement_test_step338_20260123_113756,/mnt/data/sgsilva/vlm-evaluation/results/final/task3c_v1_background_displacement_test_step338_20260123_113756.json
2026-01-23,4b_4epochs_task3c_background_displacement-step676,True,False,task3c,v1_background_displacement,4399,25,0.210145,,0.670752,0.672419,0.669405,178.706882,,,,,,,,0.059591,,1.000000,,,,20260123_120818,task3c_v1_background_displacement_test_step676_20260123_120818,/mnt/data/sgsilva/vlm-evaluation/results/final/task3c_v1_background_displacement_test_step676_20260123_120818.json
2026-01-24,4b_4epochs_task3c_background_displacement-step1014,True,False,task3c,v1_background_displacement,4399,25,0.240914,,0.705434,0.707136,0.704056,163.368718,,,,,,,,0.054363,,1.000000,,,,20260124_143439,task3c_v1_background_displacement_test_step1014_20260124_143439,/mnt/data/sgsilva/vlm-evaluation/results/final/task3c_v1_background_displacement_test_step1014_20260124_143439.json
2026-01-24,4b_4epochs_task3c_background_displacement-step1352,True,True,task3c,v1_background_displacement,4399,25,0.234252,,0.715246,0.717799,0.713214,164.450369,,,,,,,,0.047836,,1.000000,,,,20260124_143610,task3c_v1_background_displacement_test_step1352_20260124_143610,/mnt/data/sgsilva/vlm-evaluation/results/final/task3c_v1_background_displacement_test_step1352_20260124_143610.json
2026-01-19,qwen3-vl-4b-instruct,False,False,task3c,v1_background_displacement,4399,25,0.075459,,0.441499,0.328354,0.749781,285.971157,,,,,,,,0.076251,,1.000000,,,,20260119_140814,task3c_v1_background_displacement_test_4b_20260119_140814,/mnt/data/sgsilva/vlm-evaluation/results/final/task3c_v1_background_displacement_test_4b_20260119_140814.json
2026-01-15,gemini-3-pro-preview,False,False,task3c,v1_small_displacement,97,25,,,0.086616,0.158910,0.063328,,,,,,,,,0.000000,,0.896907,,,,20260115_210858,task3c_v1_small_displacement_test100_gemini3_20260115_210858,/mnt/data/sgsilva/vlm-evaluation/results/final/task3c_v1_small_displacement_test100_gemini3_20260115_210858.json
